90.0,1980.0,0.0,-0.01,-1.0,-3.49,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.11,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,0.0,1.0,-0.08,1.0,-0.3,1.0,0.21,1.0,-32.46,1.0,65.2,1.0,-32.34,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1782.0
90.0,1982.0,0.0,0.0,-1.0,-3.49,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.11,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,0.49,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,-0.3,1.0,-0.08,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1822.0
90.0,1983.0,0.0,0.0,-1.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.39,0.11,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,0.14,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,-0.3,1.0,-0.08,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1787.0
90.0,1984.0,0.0,-0.01,-1.0,0.0,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.11,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,0.0,1.0,0.23,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2166.0
90.0,1985.0,0.0,-0.01,-1.0,0.0,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.11,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,0.49,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,0.0,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,-0.3,1.0,-0.08,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2203.0
90.0,1986.0,0.0,-0.01,-1.0,0.0,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.12,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,-0.3,1.0,0.53,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2169.0
90.0,1987.0,0.0,-0.01,-1.0,0.0,3.49,3.49,0.0,0.0,0.0,0.0,0.39,0.12,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,-0.3,1.0,-0.08,1.0,-0.3,1.0,-0.09,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2113.0
90.0,1989.0,0.0,-0.01,-1.0,-3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.12,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,0.0,1.0,0.23,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1125.0
90.0,1989.0,0.0,-0.01,-1.0,-3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.12,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,0.0,1.0,0.23,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1125.0
90.0,1989.0,0.0,-0.01,-1.0,-3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.12,-6.57,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.18,1.0,-0.29,1.0,-0.17,1.0,-0.18,1.0,-0.3,1.0,-0.25,1.0,-32.05,1.0,64.9,1.0,-32.39,1.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,1.0,-0.43,1.0,0.08,1.0,0.0,1.0,0.23,1.0,-0.3,1.0,0.21,1.0,-32.15,1.0,65.2,1.0,-32.65,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1125.0
